,Sent,Received 1 Low,Received 1 High,Received 2 Low,Received 2 High,Received 3 Low,Received 3 High,Received 4 Low,Received 4 High,Received 5 Low,Received 5 High
746,(-0.22360679774997896+0.6708203932499369j),(-0.3942593259139454+0.579143943506236j),(-0.4118509867362007+0.592710326570517j),(-0.5126864490488221+0.4595227965265984j),(-0.49956483823074727+0.5224894902291605j),(-0.6048381633023616+0.2897533510713522j),(-0.6343125544813996+0.33967968974369117j),(-0.6343526947041719+0.008706574269554596j),(-0.8122634461689153+0.07341007709517425j),(-0.6196742051251799-0.059274373692342563j),(-0.8139767044971471-0.013039176468421083j)
747,(1.118033988749895-0.6708203932499369j),(1.213580468031981-0.4146416193109203j),(1.2502082778318397-0.3314562338098034j),(1.2767354922716063-0.10651661552466987j),(1.240069328824407-0.04677900502354988j),(1.352496402760729+0.23601485257388488j),(1.250431752329608+0.309796237808052j),(1.1210196400442998+0.840593780926656j),(1.1383509424764593+0.7670158779630224j),(0.9736091822404837+0.7530082620489543j),(1.002268863809534+0.9100343699942457j)
748,(-0.22360679774997896+0.6708203932499369j),(-0.4182090907943321+0.34353360143331024j),(-0.4182427173328993+0.6232344208102397j),(-0.6290047288640044+0.49337513207175926j),(-0.45709223204804933+0.4638200997825237j),(-0.6138048264535871+0.3626581014845887j),(-0.7005508464647223+0.34326975228732265j),(-0.6337531274837381+0.028681053601154673j),(-0.7197701891924241+0.020905888515194558j),(-0.5324269306612162+0.015795569787156155j),(-0.7423733786784296-0.08421986237447565j)
749,(-1.118033988749895+0.6708203932499369j),(-1.2355537436211645+0.37317219636297444j),(-1.242793524934977+0.339737143272359j),(-1.3726025249880538+0.08326840377262043j),(-1.2782622066784395+0.2368353011761397j),(-1.4058874603393214-0.34050791374781253j),(-1.2765856962375062-0.3036922505632061j),(-1.1681258807109853-0.7499366388018215j),(-1.181393542990882-0.7904360687213647j),(-1.0618581358069872-0.9466101551573033j),(-0.8909084678892593-0.8799909761376626j)
750,(-0.22360679774997896+1.118033988749895j),(-0.40732957586310115+0.9191368782605366j),(-0.5365305002745333+1.0290665709613978j),(-0.5995441680946645+1.0341161997097685j),(-0.6748392147513831+0.9842851245705699j),(-0.856472433435077+0.6624945159043402j),(-0.9606702987277377+0.6215430021802272j),(-1.1737232411171115+0.3747441878192044j),(-1.1014067079294423+0.22487942395678673j),(-0.973108347188582+0.09643951252612037j),(-1.1566422552171096+0.11817010713997514j)
751,(0.6708203932499369-0.22360679774997896j),(0.7435378941952482+0.05358754509237715j),(0.6873894185280335-0.023059416732310378j),(0.5990086580587453+0.11229455266447745j),(0.7513079404739813+0.03702974465396267j),(0.80961486089534+0.3059154648542256j),(0.6162274023628351+0.4246315388555158j),(0.48920488709088383+0.5071252031409993j),(0.471823413864614+0.4901861282316585j),(0.3952632101356593+0.4840002200231993j),(0.4329202712649201+0.5571947995618638j)
752,(0.22360679774997896+0.6708203932499369j),(-0.03208326033659473+0.5788378512919181j),(-0.02712791156827759+0.7649571960262852j),(0.004835028164528091+0.8739534693885557j),(-0.07144402829374771+0.7711451843848124j),(-0.2848862275945369+0.6291751457681858j),(-0.376904413363099+0.7064018236087575j),(-0.6870804371173851+0.4545821308397023j),(-0.6163688984290336+0.5332572105888066j),(-0.5868366017385199+0.4200417050724669j),(-0.5871892137794206+0.45453301828384235j)
753,(-0.22360679774997896-0.22360679774997896j),(-0.16422481004507034-0.3266188350653342j),(-0.1465722246300808-0.22626078103993646j),(-0.0868281041019871-0.22645481875315304j),(-0.08354623226715398-0.2808497312566467j),(0.07517443052906984-0.26847809741051704j),(-0.019414044682002293-0.37772924341633274j),(0.09150597530176863-0.40705310473867795j),(0.15632437559240528-0.28160946549232324j),(0.1552539089620808-0.3872281977860702j),(0.1630418655911249-0.28251399952517775j)
754,(1.118033988749895+0.22360679774997896j),(0.9027825046403593+0.5384267895630892j),(1.1246146871064089+0.47301243168657287j),(0.9694922583876323+0.7150161622523581j),(0.919736177280318+0.6810307119219491j),(0.6049676351285876+1.0834887915002234j),(0.6512932712860641+0.9685079488409619j),(0.3451153968100982+1.0160809278494483j),(0.3000247958537839+1.1341818557746701j),(0.15539011783464873+1.0055685910547618j),(0.04841285122599981+1.093559488176765j)
755,(1.118033988749895-0.22360679774997896j),(1.036068581952819+0.10147100786928832j),(1.0970378575747315+0.06772041467158453j),(1.1679323028603967+0.26270246195734337j),(1.0571902061734737+0.22039897543065035j),(0.8932052361446675+0.5583002882650463j),(1.0566426910712043+0.7005182617206516j),(0.6241570911762401+0.7863871676127804j),(0.6222374659642051+0.9142315861728886j),(0.3778089534593311+0.9568059442072063j),(0.5150932742046+0.9756791966921768j)
