,received1 low,received1 high,received2 low,received2 high,received3 low,received3 high,received4 low,received4 high,received5 low,received5 high,received6 low,received6 high,sent
11,(-0.26762387260567627-0.20024864259115027j),(-0.3304888660917865-0.1900643440398367j),(-0.18675440830214626-0.2648100626458822j),(-0.224056307852397-0.281038449621268j),(-0.17521513279516185-0.3218914288037077j),(-0.1897367617822356-0.3245275946351712j),(-0.1970927916575219-0.4231910657081222j),(-0.15943896972466493-0.3179597809936064j),(-0.015347590618233223-0.3877649990404207j),(-0.05194816713778741-0.35130807451716567j),(-0.036382706261983214-0.41851149326989323j),(0.009407557834117172-0.36849461863699495j),(-0.35163987026170934-0.11721329008723645j)
12,(-1.28975846349548-0.2759819447952336j),(-1.251325825409458-0.23511247584320755j),(-1.10940813729642-0.6542850848882212j),(-1.1390257446943386-0.6555210984193358j),(-1.1046203042248186-0.6890219600505988j),(-1.1133989289358113-0.6668202137655344j),(-1.1086251356840755-0.8388673819990232j),(-1.0115027934712812-0.8404878145720603j),(-0.6543020946913578-1.1067267704015384j),(-0.645346683035872-1.080494131519257j),(-0.41069644691661067-1.2385738900365248j),(-0.48297290048620245-1.198339186598504j),(-1.289346190959601+0.11721329008723645j)
13,(0.7610116717628403+0.31326880301121623j),(0.7404654490707712+0.3408767374635681j),(0.5878044809132459+0.5546028783964991j),(0.6073730467141832+0.5543888912976529j),(0.6348040649442224+0.6308286834063092j),(0.5660608772202139+0.5958367210374671j),(0.5733638457008978+0.6844740265364436j),(0.5154126934973866+0.6610503538790226j),(0.20221976106984824+0.7579737683781059j),(0.27317048986471715+0.8369184914959298j),(0.17435430684900038+0.8518687913314191j),(0.1014282498998327+0.8201368977026509j),(0.8204930306106551+0.11721329008723645j)
14,(1.0550173624334955+0.8956801171067361j),(1.093190610471856+0.9227115248286417j),(0.773373401064801+1.1956024365800086j),(0.736420802491699+1.195361065421274j),(0.6549234443987159+1.2899058136681132j),(0.6503373581893336+1.2876070003821707j),(0.49374433324423256+1.3115406406782975j),(0.49854898610796883+1.3320993462519561j),(0.052396173625855906+1.4037718402483816j),(0.015236246084980648+1.4155785891012824j),(-0.24181365425194493+1.449976642509745j),(-0.22777758731902417+1.4053876475051101j),(1.289346190959601+0.5860664504361822j)
15,(0.6552355801144626-1.1281121272815766j),(0.6606633709398614-1.1216782124778968j),(1.0311372610382297-0.901378961546682j),(1.031968235392215-0.8044633777688024j),(1.0379992147245345-0.7815701988237529j),(1.0576012386525755-0.8233379502912418j),(1.1787114129894882-0.6919487270822012j),(1.1409733482374333-0.6615077928250835j),(1.3482726262630504-0.18782929708398613j),(1.3225401905021699-0.1626500192803228j),(1.3042164175370956-0.020322361857125788j),(1.3200109741072545+0.006870928096417828j),(0.35163987026170934-1.289346190959601j)
16,(0.9040407110315856-0.8605702875014563j),(0.8539265483946847-0.8910667949885752j),(1.0767554847289327-0.5210242817819692j),(1.1097389731831049-0.5207735654458817j),(1.1078319839606272-0.4752158029633074j),(1.122794159180402-0.5120927741168293j),(1.133437976251286-0.33793975847592433j),(1.174132363057745-0.34211807217145623j),(1.2240613462819647+0.08342683543259263j),(1.227870260429648+0.11492189678514564j),(1.1243348098151547+0.275291222873358j),(1.198492709520862+0.34021139580468057j),(0.5860664504361822-1.054919610785128j)
17,(0.24381283922311375+0.23452270636214853j),(0.300575922330256+0.21812728024378938j),(0.21482805101924998+0.24382885998852602j),(0.19078771442731113+0.35595312941805923j),(0.22589534714910253+0.2621676553233166j),(0.23996268654630837+0.2932101077279187j),(0.21084960439921435+0.3108033376087758j),(0.14521375344858664+0.30558358664865665j),(0.026649139955972873+0.38476845790128184j),(0.042455561228168126+0.364220895645473j),(-0.04862668173702725+0.44289154604895026j),(-0.04443928908679072+0.37367186648244793j),(0.35163987026170934+0.11721329008723645j)
18,(-0.4063223491308169+0.49495329340667693j),(-0.2690432604747632+0.5468625267119542j),(-0.4756947742840979+0.39628158923520207j),(-0.42382457794878187+0.39102604720326783j),(-0.5009797288598311+0.2822006533955631j),(-0.47354490635178237+0.4280337408175541j),(-0.4968984983557829+0.3921887590773034j),(-0.5168746082361523+0.31671141698462674j),(-0.5997453290089264+0.10735103087087812j),(-0.5753815453855665+0.14516101248822869j),(-0.571732229154982+0.022416074947321164j),(-0.5775656309411905+0.017997527308879935j),(-0.11721329008723645+0.5860664504361822j)
19,(-0.9412809386258844-0.6609114312266522j),(-0.9212143881132966-0.6148211347511781j),(-0.6487483914187455-0.876044645319829j),(-0.6952851536835184-0.8919344400844104j),(-0.6242015528047747-0.9006082075732764j),(-0.6612418412432701-0.9166489105672176j),(-0.5170567759764276-0.9767176389924237j),(-0.4655894027430647-0.9899577898903174j),(-0.08335755287630037-1.0623322563921067j),(-0.10971940559029728-1.0646167463769824j),(0.1365726797493399-1.1201229990601547j),(0.07971386546871212-1.124122020034827j),(-1.054919610785128-0.35163987026170934j)
20,(1.3504439504670143-0.0331565001880843j),(1.310567173792773-0.006670346513772501j),(1.2803434538867495+0.4188868797544342j),(1.2889276097626599+0.43150549327202425j),(1.2884848128204538+0.45243278662346215j),(1.2096257419823175+0.4876954275986337j),(1.1641309887490128+0.6430011581229214j),(1.1902353165754083+0.6466790268204362j),(0.8135956399332807+1.0706781764094517j),(0.8745610217354114+0.9784439375485112j),(0.7454464549044235+1.1741508979642186j),(0.6577659876582351+1.1504752607834217j),(1.289346190959601-0.35163987026170934j)
